Parcel(s),Building Name,Building Address,Postal Code,Floor Area,Category,Property Type - Self Selected,PIM Link,Year Built,Energy Audit Due Date,Energy Audit Status,2021 ENERGY STAR Score,2021 Site EUI (kBtu/ft2),2021 Source EUI (kBtu/ft2),2021 Percent Better than National Median Site EUI,2021 Weather Normalized Site EUI (kBtu/ft2),2021 Weather Normalized Source EUI (kBtu/ft2),2021 Total GHG Emissions (Metric Tons CO2e),2021 Total GHG Emissions Intensity (kGCO2e/ft2) ,2021 Electricity Use - Grid Purchase (kWh),2021 Natural Gas Use (kBtu), 2021 District Steam Use (kBtu) ,2021 Site Energy Use (kBtu),2020 ENERGY STAR Score,2020 Site EUI (kBtu/ft2),2020 Source EUI (kBtu/ft2),2020 Percent Better than National Median Site EUI,2020 Weather Normalized Site EUI (kBtu/ft2),2020 Weather Normalized Source EUI (kBtu/ft2),2020 Total GHG Emissions (Metric Tons CO2e),2020 Total GHG Emissions Intensity (kGCO2e/ft2) ,2020 Electricity Use - Grid Purchase (kWh),2020 Natural Gas Use (kBtu),2020 District Steam Use (kBtu) ,2020 Site Energy Use (kBtu),2019 ENERGY STAR Score,2019 Site EUI (kBtu/ft2),2019 Source EUI (kBtu/ft2),2019 Percent Better than National Median Site EUI,2019 Weather Normalized Site EUI (kBtu/ft2),2019 Weather Normalized Source EUI (kBtu/ft2),2019 Total GHG Emissions (Metric Tons CO2e),2019 Total GHG Emissions Intensity (kGCO2e/ft2) ,2019 Electricity Use - Grid Purchase (kWh),2019 Natural Gas Use (kBtu),2019 District Steam Use (kBtu) ,2019 Site Energy Use (kBtu),2018 ENERGY STAR Score,2018 Site EUI (kBtu/ft2),2018 Source EUI (kBtu/ft2),2018 Percent Better than National Median Site EUI,2018 Weather Normalized Site EUI (kBtu/ft2),2018 Weather Normalized Source EUI (kBtu/ft2),2018 Total GHG Emissions (Metric Tons CO2e),2018 Total GHG Emissions Intensity (kGCO2e/ft2) ,2018 Electricity Use - Grid Purchase (kWh),2018 Natural Gas Use (kBtu),2018 District Steam Use (kBtu),2018 Site Energy Use (kBtu),2017 ENERGY STAR Score,2017 Site EUI (kBtu/ft2),2017 Source EUI (kBtu/ft2),2017 Percent Better than National Median Site EUI,2017 Weather Normalized Site EUI (kBtu/ft2),2017 Weather Normalized Source EUI (kBtu/ft2),2016 ENERGY STAR Score,2016 Site EUI (kBtu/ft2),2016 Source EUI (kBtu/ft2),2016 Percent Better than National Median Site EUI,2016 Percent Better than National Median Source EUI,2016 Weather Normalized Site EUI (kBtu/ft2),2016 Weather Normalized Source EUI (kBtu/ft2),2015 ENERGY STAR Score,2015 Site EUI (kBtu/ft2),2015 Source EUI (kBtu/ft2),2015 Percent Better than National Median Site EUI,2015 Weather Normalized Site EUI (kBtu/ft2),2015 Weather Normalized Source EUI (kBtu/ft2),2014 ENERGY STAR Score,2014 Site EUI (kBtu/ft2),2014 Source EUI (kBtu/ft2),2014 Percent Better than National Median Site EUI,2014 Weather Normalized Site EUI (kBtu/ft2),2014 Weather Normalized Source EUI (kBtu/ft2),2013 ENERGY STAR Score,2013 Site EUI (kBtu/ft2),2013 Source EUI (kBtu/ft2),2013 Percent Better than National Median Site EUI,2013 Weather Normalized Site EUI (kBtu/ft2),2013 Weather Normalized Source EUI (kBtu/ft2),2012 ENERGY STAR Score,2012 Site EUI (kBtu/ft2),2012 Source EUI (kBtu/ft2),2012 Percent Better than National Median Site EUI,2012 Weather Normalized Site EUI (kBtu/ft2),2012 Weather Normalized Source EUI (kBtu/ft2),2011 ENERGY STAR Score,2011 Site EUI (kBtu/ft2),2011 Source EUI (kBtu/ft2),2011 Percent Better than National Median Site EUI,2011 Weather Normalized Site EUI (kBtu/ft2),2011 Weather Normalized Source EUI (kBtu/ft2),2021 Benchmark Status,2021 Reason for Exemption,2020 Benchmark Status,2020 Reason for Exemption,2019 Benchmark Status,2019 Reason for Exemption,2018 Benchmark Status,2018 Reason for Exemption,2017 Benchmark Status,2017 Reason for Exemption,2016 Benchmark Status,2016 Reason for Exemption,2015 Benchmark Status,2015 Reason for Exemption,2014 Benchmark Status,2014 Reason for Exemption,2013 Benchmark Status,2013 Reason for Exemption,2012 Benchmark Status,2012 Reason for Exemption,2011 Benchmark Status,2011 Reason for Exemption
3731/094,1035 HOWARD ST,1035 HOWARD ST,94103,27996,Commercial,Office,https://sfplanninggis.org/PIM/?tab=Property&search=3731/094,1930,04/01/2024,Upcoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Exempt,Vacancy,2020 - Exempt,Vacancy,2019 - Exempt,Vacancy,2018 - Exempt,Vacancy,Exempt,Added After Benchmark Year,Exempt,Added After Benchmark Year,Exempt,Added After Benchmark Year,Exempt,Added After Benchmark Year,Exempt,Added After Benchmark Year,Exempt,Added After Benchmark Year,,
3731/095,1025 HOWARD ST,1025 HOWARD ST,94103,18387,Commercial,Arts & Culture,https://sfplanninggis.org/PIM/?tab=Property&search=3731/095,1939,04/01/2014,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Violation - Did Not Report,,2020 - Violation - Did Not Report,,2019 - Violation - Did Not Report,,2018 - Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year
3731/240,Westbrook Plaza,255 7TH ST,94103,118344,Mixed Residential,Multifamily Housing,https://sfplanninggis.org/PIM/?tab=Property&search=3731/240,,,,,22.4,39.8,-54.4,22.6,40.4,111.2,1.2,263093.4,1070874.4,,2157436.1,,22.4,40.1,-54.4,22.7,40.6,117.4,1.2,268466.2,1066543.7,,2159110.1,100,22.1,39.5,-55.5,22,39.4,118.5,1.2,264413.5,1034603.2,,2124547.3,,,,,,,135.7,1.4,338582,1023417.4,,2368311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Complied,,,,,,,,,,,,,,,
3732/029,984 FOLSOM ST,984 FOLSOM ST,94103,22240,Commercial,Office,https://sfplanninggis.org/PIM/?tab=Property&search=3732/029,1928,04/01/2022,Pending - Contracted,98,14.4,40.2,-71.7,14.4,40.2,19.3,0.9,93641.3,0,,319504.3,,20.3,56.9,-61.3,20.3,56.9,29.9,1.3,132385,0,,451697.6,,,,,,,,,,,,,80,31.5,88.1,-33.1,31.1,87.1,49.3,2.2,205161.8,,,700012.1,94,26,81.5,-51.9,26,81.5,99,17.3,54.2,-67.3,-67.3,17.3,54.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Complied,,2020 - Complied,,2019 - Violation - Insufficient Data,,2018 - Complied,,Complied,,Complied,,Exempt,Tenant Turnover,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year
3732/045,BOYD 944 FOLSOM BUILDING,944 FOLSOM ST,94103,10750,Commercial,Office,https://sfplanninggis.org/PIM/?tab=Property&search=3732/045,1936,04/01/2025,,91,21.8,41,-53.9,22.9,42.1,13.3,1.2,32485.8,123963,,234804.5,,16.2,35.5,-69.5,16.2,35.5,10.7,1,33408.3,59678,,173667.2,89,30.6,64.7,-51,32.7,66.9,20.9,1.9,58568.2,129136,,328970.6,,,,,,,,,,,,,81,31.6,73.1,-33.1,34.4,76.1,73,34.1,81,-24.2,-24.2,39.7,86.9,86,27.9,66.3,-39,29.3,67.8,91,23.4,55.8,-47.8,27.3,59.9,93,26.7,55.5,-50.3,27.1,55.9,,,,,,,,,,,,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Violation - Did Not Report,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,SqFt Not Subject This Year
3732/062,436 CLEMENTINA ST,436 CLEMENTINA ST,94103,50604,Mixed Residential,,https://sfplanninggis.org/PIM/?tab=Property&search=3732/062,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Violation - Did Not Report,,2020 - Violation - Did Not Report,,2019 - Violation - Did Not Report,,2018 - Violation - Did Not Report,,,,,,,,,,,,,,,
3732/078,Knox Hotel,241 6TH ST,94103,154000,Multifamily,,https://sfplanninggis.org/PIM/?tab=Property&search=3732/078,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Violation - Did Not Report,,2020 - Violation - Did Not Report,,2019 - Violation - Did Not Report,,2018 - Violation - Did Not Report,,,,,,,,,,,,,,,
3732/100,921 HOWARD ST,921 HOWARD ST,94103,14618,Commercial,Other,https://sfplanninggis.org/PIM/?tab=Property&search=3732/100,1924,04/01/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,12.2,-86.3,5.1,12.3,4.9,0.3,16839.7,16607,,74063.9,,,,,,,,,,,,,100,5.3,14.5,-83.6,5.5,14.7,100,6.7,17.8,-79.3,-79.3,6.7,17.8,,6.3,18.5,-85,6.3,18.5,,6.4,19.3,-84.4,6.4,19.3,,7.4,20.3,-83.5,6.8,19.7,,,,,,,,,,,,,2021 - Violation - Did Not Report,,2020 - Violation - Did Not Report,,2019 - Complied,,2018 - Violation - Did Not Report,,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year
3732/119,981 HOWARD ST,981 HOWARD ST,94103,19250,Commercial,Other,https://sfplanninggis.org/PIM/?tab=Property&search=3732/119,1927,04/01/2014,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Violation - Did Not Report,,2020 - Violation - Did Not Report,,2019 - Violation - Did Not Report,,2018 - Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year
3732/124,201 06TH ST,201 6TH ST,94103,61560,Mixed Residential,Hotel,https://sfplanninggis.org/PIM/?tab=Property&search=3732/124,1907,,,100,9.4,16.8,-84.1,9.4,16.8,32.5,0.5,71555.6,332848,,576995.6,,11.1,19.6,-81.4,11.2,19.7,40,0.6,81482.4,405440,,683458.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Complied,,2020 - Complied,,2019 - Violation - Insufficient Data,,2018 - Violation - Did Not Report,,,,,,,,,,,,,,,
3732/272,MOSSO SF,270 5TH ST,94103,243288,Multifamily,Multifamily Housing,https://sfplanninggis.org/PIM/?tab=Property&search=3732/272,2012,,,,82.7,127,-27,83.7,128,822.4,4.6,1212468,10769999.7,,14906941.1,,59.4,99.1,-0.1,62.6,102.4,619.1,3.4,1108853.2,6934666.5,,10718073.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Complied,,,,,,,,,,,,,,,
3732/562,250 05TH ST,250 5TH ST,94103,243000,Multifamily,Multifamily Housing,https://sfplanninggis.org/PIM/?tab=Property&search=3732/562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Violation - Did Not Report,,2020 - Violation - Did Not Report,,2019 - Complied,,2018 - Complied,,,,,,,,,,,,,,,
3733/008,250 4TH ST,250 4TH ST,94103,29590,Commercial,Hotel,https://sfplanninggis.org/PIM/?tab=Property&search=3733/008,1947,04/01/2027,,71,87.8,196.6,-17.5,87.8,196.6,151,5.1,517584,830682,,2596678.8,,146.2,309.7,29.8,150.7,314.4,249.4,8.4,774024.3,1686042.1,,4327013.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Complied,,2020 - Complied,,2019 - Violation - Did Not Report,,2018 - Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,New Construction,Exempt,New Construction,Exempt,Demolition,Exempt,Demolition,Exempt,Demolition
3733/017,The Salvation Army - 832 Folsom,832 FOLSOM ST,94103,86623,Commercial,Office,https://sfplanninggis.org/PIM/?tab=Property&search=3733/017,1986,04/01/2024,,,78.7,161,-42.9,80.7,163.1,261.2,4.9,703830.3,1819123.1,,4220592.5,,78.5,163.8,-42.8,89.6,175.4,256.6,4.8,730574.3,1719162.6,,4211882.3,58,141.6,256.2,-10.6,141.6,256.2,460.4,8.6,965751.5,4298686.9,,7593831.4,55,129.5,260.3,-4.1,129.5,260.3,434.9,8.1,1116366,3135977.4,,6945018.6,66,116.8,252.1,-15.9,119.4,254.9,64,120.1,254.7,-14.1,-14.1,118.9,250.7,75,97.5,225.9,-25,96.5,223,76,83.7,219.3,-26.2,84.4,217.7,57,89.6,225,-7,89.7,225.1,51,98.3,239.5,-1.7,98.8,241.3,54,93,235.5,-4,93,235.5,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,
3733/018,840 FOLSOM ST,840 FOLSOM ST,94103,10811,Commercial,Office,https://sfplanninggis.org/PIM/?tab=Property&search=3733/018,1923,04/01/2022,,100,9.9,27.6,-78.3,9.9,27.6,6.5,0.6,31257.4,0,,106650.2,,9.2,25.8,-80.4,9.2,25.8,6,0.6,29150.1,0,,99460.2,89,24,65.2,-50.6,24.2,65.4,18.1,1.7,72342.6,12754.8,,259587.8,94,21.6,50.3,-59.7,22.1,50.8,15.4,1.4,49889.8,63555.2,,233779.1,95,21.6,49.6,-62.1,23.4,51.5,96,22,58.9,-57.1,-57.1,22,58.9,98,19.2,52.5,-63,19.2,51.2,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year
3733/020A,854 FOLSOM ST,854 FOLSOM ST,94103,10880,Commercial,Office,https://sfplanninggis.org/PIM/?tab=Property&search=3733/020A,1926,04/01/2020,,,9.3,26.2,-82.7,9.3,26.2,6.2,0.6,29811.3,,,101716.2,,,,,,,,,,,,,92,24.8,69.3,-55.4,24.6,68.8,19,1.7,78969.9,,,269445.2,91,25.1,70.3,-51.4,25.2,70.6,19.2,1.8,80090.3,,,273268.2,,,,,,,95,23,72.4,-55,-55,24.2,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Complied,,2020 - Violation - Did Not Report,,2019 - Complied,,2018 - Complied,,Violation - Did Not Report,,Complied,,Exempt,New Construction,Exempt,New Construction,Exempt,Change in Ownership,Exempt,Change in Ownership,Exempt,SqFt Not Subject This Year
3733/024,868 FOLSOM ST,868 FOLSOM ST,94103,18000,Commercial,Office,https://sfplanninggis.org/PIM/?tab=Property&search=3733/024,1935,04/01/2026,,62,26,72.8,-46.8,26.4,73.8,28.3,1.6,137160.9,100,,468093,,24.7,69.2,-56,24.7,69.2,29.5,1.6,130470.3,0,,445164.6,,,,,,,,,,,,,93,30.8,86.3,-56.6,30.8,86.3,39.1,2.2,162521.9,,,554524.8,97,30.2,94.9,-58.6,30.2,94.9,97,28,87.9,-60.4,-60.4,28,87.9,97,27.3,85.8,-60,26.6,83.6,98,25.2,79,-63.1,25.8,80.9,,,,,,,,,,,,,,,,,,,2021 - Complied,,2020 - Complied,,2019 - Violation - Insufficient Data,,2018 - Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year
3733/030,275 5TH ST,275 5TH ST,94103,28000,Commercial,Office,https://sfplanninggis.org/PIM/?tab=Property&search=3733/030,1965,04/01/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,38.3,87.6,-18.5,40,89.4,45,2.5,142955.4,201249.3,,689013.2,76,46.2,110.2,-23.5,48.3,112.4,78,44.2,105.8,-25.5,-25.5,50.4,115.7,100,20.5,40.3,-70,,,100,10.3,10.8,-91.8,13.7,14.4,100,30.3,31.8,-77,28.4,29.8,,,,,,,,,,,,,2021 - Violation - Did Not Report,,2020 - Violation - Did Not Report,,2019 - Violation - Insufficient Data,,2018 - Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,
3733/079-A,875 Howard Street,875 HOWARD ST,94103,231360,Commercial,Office,https://sfplanninggis.org/PIM/?tab=Property&search=3733/079-A,1920,04/01/2026,,,32.4,78.3,-38.9,32.4,78.3,381.7,1.9,1483932.6,1417697.5,,6480876.1,,33.7,83.5,-43.9,34.2,84,430.7,2.2,1608887.7,1258071.4,,6747597,90,44.2,113.8,-50.2,44.1,113.2,602.9,3,2259165.6,1127775,,8836048.8,89,28.7,73.5,-57.2,28.7,73.5,553.5,2,2058984.3,1104292.7,,8129548,96,34.6,100.4,-56.2,34.6,100.4,95,36.9,104.5,-53.9,-53.9,38.1,105.9,97,38,111.8,-58,38.4,112.2,93,45,132.2,-50.1,45.7,130.5,92,51.2,138.8,-47,50.8,139.8,81,60.9,163.699999999999,-32.4,61,164.9,,60.3,,-10.1,60.3,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,
3733/079-B,899 Howard Street,899 HOWARD ST,94103,96609,Commercial,Retail Store,https://sfplanninggis.org/PIM/?tab=Property&search=3733/079-B,1920,04/01/2024,,,28.2,78.9,-48.3,28.2,78.9,164.7,1.7,797547.4,,,2721232.2,,36.6,102.4,-29.2,36.1,101,234.1,2.4,1035108.2,,,3531789.5,56,42.4,118.7,-6.4,42.1,118,288.6,3,1200794.5,,,4097111.2,34,50.9,142.6,17.1,50.9,142.6,339,3.6,1410334.2,,,4812061,37,41.7,116.8,13.1,41.7,116.8,21,48.1,150.9,45.5,45.5,48.1,150.9,9,60.8,191,85,59.9,187.9,5,66.7,209.4,109.7,66.7,209.4,6,70.9,222.8,100.8,70.9,222.8,4,75.3,251.5,113,76,253.8,6,72.5,,101.7,72.5,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,
3733/081,Pacific & Energy Center,851 HOWARD ST,94103,32139,Commercial,Mixed Use Property,https://sfplanninggis.org/PIM/?tab=Property&search=3733/081,1924,04/01/2022,,,,,,,,,,,,,,,45.3,84.4,-5.5,46.3,85.5,69.8,2.7,160657.3,630803.3,,1178966.2,,,,,,,,,,,,,,52.7,109.1,22.2,52.8,109.3,86.8,3.3,234315.3,573352.2,,1372836.2,,46.3,106.5,-13.5,46,105.6,,45.2,105,-14.7,-14.7,49.1,109.1,,44.4,108.2,-12,45.6,109.5,,39.6,99.4,-19.3,42.4,102.4,,42.5,106.1,-13.8,41.8,106.4,,43,113.8,-38.6,42.1,112.8,,,,,,,2021 - Exempt,Change in Ownership,2020 - Complied,,2019 - Violation - Insufficient Data,,2018 - Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,
3733/083,841 HOWARD ST,841 HOWARD ST,94103,15277,Commercial,Other - Entertainment/Public Assembly,https://sfplanninggis.org/PIM/?tab=Property&search=3733/083,1923,04/01/2016,Did Not Comply,,1.2,3.4,-96.9,1.2,3.4,1.1,0.1,5499.3,,,18763.7,,1.5,4.2,-96.3,1.5,4.2,1.5,0.1,6641.8,0,,22661.9,,2.5,7,-93.7,2.5,7,2.5,0.2,11245.7,,,38370.3,,2.6,7.2,-93.5,2.6,7.2,2.8,0.2,11552.9,,,39418.5,,2.5,7,-93.8,2.5,7,,2.4,7.5,-91.2,-91.2,2.4,7.5,,3,9.6,-89,3,9.6,,2.7,8.4,-90.2,2.7,8.4,,2.9,9,-89.4,2.8,8.8,,,,,,,,,,,,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Vacancy,Exempt,SqFt Not Subject This Year
3733/084,835 HOWARD ST,835 HOWARD ST,94103,15806,Commercial,Office,https://sfplanninggis.org/PIM/?tab=Property&search=3733/084,1907,04/01/2019,,,12.2,34.2,-74.8,12.2,34.2,11.7,0.7,56522.3,,,192854.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,22.2,69.7,-57.1,-57.1,22.2,69.7,95,22.5,70.6,-56,22.5,70.6,97,19.5,61.4,-61.3,18.4,57.7,,,,,,,,12.5,39.1,-68.0999999999999,12.5,39.1,,,,,,,2021 - Complied,,2020 - Violation - Insufficient Data,,2019 - Violation - Insufficient Data,,2018 - Violation - Insufficient Data,,Violation - Did Not Report,,Complied,,Complied,,Complied,,Violation - Insufficient Data,,Complied,,Violation - Did Not Report,
3733/091,363 CLEMENTINA ST,363 CLEMENTINA ST,94103,10936,Commercial,Office,https://sfplanninggis.org/PIM/?tab=Property&search=3733/091,1957,04/01/2027,,100,8.6,18.1,-92.5,8.6,18.1,5.4,0.5,16574.7,37386.2,,93939,,17.7,36.8,-84.9,18.2,37.4,11.8,1.1,33473,79077.4,,193287.4,99,31.9,58.3,-76.1,32.2,58.6,21.2,1.9,45507.4,193490.3,,348761.8,99,27.8,57.1,-76.3,27.6,56.9,19.2,1.8,51121,129622.3,,304047.1,99,33.3,66.2,-72.8,34.9,67.9,100,28.5,64.3,-77.3,-77.3,32.2,68.2,100,32.3,74.1,-74,34.1,76.1,100,33.5,77.1,-72.3,39.3,82.5,,,,,,,,,,,,,,,,,,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year
3733/105,Ceatrice Polite Apartments,317 CLEMENTINA ST,94103,86400,Mixed Residential,Multifamily Housing,https://sfplanninggis.org/PIM/?tab=Property&search=3733/105,1984,,,66,56.9,73.6,-10.6,,,266.3,3.1,200158.7,4234724.2,,4917665.7,,43.5,60.5,-27.3,,,209.1,2.4,215423.7,3019888.7,,3754914.5,,45.7,63,-24.9,46.5,63.9,219.5,2.5,217978.4,3204317.4,,3948059.9,,,,,,,236.1,2.7,221390.7,3501403.3,,4256788.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Complied,,,,,,,,,,,,,,,
3733/106,366 CLEMENTINA ST,366 CLEMENTINA ST,94103,10673,Commercial,Other,https://sfplanninggis.org/PIM/?tab=Property&search=3733/106,1949,04/01/2014,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Violation - Did Not Report,,2020 - Violation - Did Not Report,,2019 - Violation - Did Not Report,,2018 - Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year
3733/107,380 CLEMENTINA ST,380 CLEMENTINA ST,94103,238136,Mixed Residential,Multifamily Housing,https://sfplanninggis.org/PIM/?tab=Property&search=3733/107,1972,,,1,32.2,64.6,91.5,32.8,65.2,437.9,1.8,1227382.1,3473362.7,,7661190.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Complied,,2020 - Violation - Insufficient Data,,2019 - Violation - Insufficient Data,,2018 - Violation - Insufficient Data,,,,,,,,,,,,,,,
3733/159,EUGENE COLEMAN HOUSE,825 HOWARD ST,94103,93600,Multifamily,Multifamily Housing,https://sfplanninggis.org/PIM/?tab=Property&search=3733/159,1971,,,,,,,,,,,,,,,,35.9,56.5,-52.2,36.3,57,191.5,2,294951,2349854.4,,3356227.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Violation - Did Not Report,,2020 - Complied,,2019 - Violation - Did Not Report,,2018 - Violation - Did Not Report,,,,,,,,,,,,,,,
3733/160,IRLC SF,825 HOWARD ST,94103,93600,Mixed Residential,Multifamily Housing,https://sfplanninggis.org/PIM/?tab=Property&search=3733/160,2007,,,,36.8,58.4,-50.5,37,58.6,190.7,2,310260.7,2384911.9,,3443521.6,,,,,,,,,,,,,,32.4,53.2,-54.9,,,174.4,1.9,,,,,,,,,,,,,301932.4,1998398.9,,3028592.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Complied,,,,2019 - Violation - Did Not Report,,2018 - Complied,Added After Benchmark Year,,,,,,,,,,,,,,
3733/161,Clementina Towers,320 CLEMENTINA ST,94103,175046,Mixed Residential,Multifamily Housing,https://sfplanninggis.org/PIM/?tab=Property&search=3733/161,2007,,,59,80.4,100.3,-6.1,80.4,100.3,759.3,4.3,466666,12480445.9,,14072710.5,,81.4,98.2,-8.9,81.4,98.2,773.6,4.4,373881.2,12973433.2,,14249115.8,77,69.7,88.5,-18.4,69.7,88.5,674.6,3.9,450224.6,10664183.6,,12200350.3,,,,,,,773.4,4.4,1068860.7,9724208.7,,13371161.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Complied,,,,,,,,,,,,,,,
3733/171,WOOLF HOUSE I & II,801 HOWARD ST,94103,143575,Mixed Residential,Multifamily Housing,https://sfplanninggis.org/PIM/?tab=Property&search=3733/171,1970,,,,41.8,58,-50.9,41.8,58,327.3,2.3,339794.1,4840577.5,,5999955.3,,36.5,52.1,-55.9,37.2,52.9,292.9,2,331585.2,4102095.3,,5233464.2,,,,,,,,,398873.7,3511988.8,,4872946.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Complied,,2020 - Complied,,2019 - Violation - Did Not Report,,2018 - Violation - Did Not Report,,,,,,,,,,,,,,,
3735/005,631 Howard,631 HOWARD ST,94105,110686,Commercial,Office,https://sfplanninggis.org/PIM/?tab=Property&search=3735/005,1929,04/01/2026,Upcoming,98,21.1,46.1,-70.1,22,46.9,135.4,1.2,442309.1,830547.5,,2339706.3,,25.1,56.2,-60.1,27.7,59,164.5,1.6,526804.4,852785.2,,2650242,96,34.7,80.9,-63.9,36.1,81.8,240.6,2.3,786613.6,969741.9,,3653667.8,94,,,,,,,,792040.8,979218.1,,3681661.5,96,37.3,99.4,-55.7,39.1,101.3,97,33.2,87.5,-58.4,-58.4,37,91.4,97,33.3,88.5,-59,34.5,89.7,99,23.9,60.7,-68.0999999999999,25.1,62,,,,,,,,,,,,,84,53.6,,-36.7,53.6,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Violation - Did Not Report,,Complied,,Complied,,Complied,,Complied,,Exempt,,Exempt,,Complied,
